user_id,target,n_train,n_val,val_mae,val_rmse
603951f6152e6be8454a7d54,attractive,3532,883,0.6082638,0.7585019
5fc68c7d781dffc92b8a11e5,attractive,2282,571,0.5164084,0.6288488
601577ed152e6be8454a39cb,attractive,2211,553,0.6045793,0.7582517
6036847a152e6be8454a5cde,attractive,1365,342,0.5106775,0.6062745
60378cd4152e6be8454a6535,attractive,305,77,0.8888061,1.0571073
603951f6152e6be8454a7d54,smart,3532,883,0.64990985,0.80283
5fc68c7d781dffc92b8a11e5,smart,2282,571,0.47920245,0.5851788
601577ed152e6be8454a39cb,smart,2211,553,0.5366006,0.6734057
6036847a152e6be8454a5cde,smart,1365,342,0.42813227,0.5093446
60378cd4152e6be8454a6535,smart,305,77,0.8264626,0.9928853
603951f6152e6be8454a7d54,trustworthy,3532,883,0.7817706,0.9512665
5fc68c7d781dffc92b8a11e5,trustworthy,2282,571,0.4805347,0.6094548
601577ed152e6be8454a39cb,trustworthy,2211,553,0.5412622,0.6768135
6036847a152e6be8454a5cde,trustworthy,1365,342,0.3837968,0.46345758
60378cd4152e6be8454a6535,trustworthy,305,77,0.7217373,0.8429911
