user_id,user_idx,target,val_accuracy,val_ce_loss,train_loss,n_train,n_val
5fc68c7d781dffc92b8a11e5,0,attractive,0.8186753528773073,0.3938580817993454,0.28774479031562805,7362,921
5fc68c7d781dffc92b8a11e5,0,smart,0.8186753528773073,0.3721232002661074,0.2700481116771698,7362,921
5fc68c7d781dffc92b8a11e5,0,trustworthy,0.7926167209554832,0.42709136805606823,0.3095340430736542,7362,921
603951f6152e6be8454a7d54,1,attractive,0.659041394335512,0.6743225760486798,0.33140888810157776,7340,918
603951f6152e6be8454a7d54,1,smart,0.5642701525054467,0.7745763092771931,0.45440107583999634,7340,918
603951f6152e6be8454a7d54,1,trustworthy,0.5882352941176471,0.7684923327927318,0.41567280888557434,7340,918
6036847a152e6be8454a5cde,2,attractive,0.6167341430499326,0.7858089956799424,0.35950201749801636,5920,741
6036847a152e6be8454a5cde,2,smart,0.5695006747638327,0.8370729212836764,0.36065757274627686,5920,741
6036847a152e6be8454a5cde,2,trustworthy,0.5303643724696356,0.8286609882681965,0.40629175305366516,5920,741
601577ed152e6be8454a39cb,3,attractive,0.8401420959147424,0.3768473178693674,0.21750077605247498,4498,563
601577ed152e6be8454a39cb,3,smart,0.8543516873889876,0.3236551313761578,0.19843728840351105,4498,563
601577ed152e6be8454a39cb,3,trustworthy,0.8134991119005328,0.4065480952736445,0.25326305627822876,4498,563
60378cd4152e6be8454a6535,4,attractive,0.6666666666666666,1.0233698756538894,0.025990406051278114,478,60
60378cd4152e6be8454a6535,4,smart,0.6666666666666666,0.9056164473391758,0.03820708021521568,478,60
60378cd4152e6be8454a6535,4,trustworthy,0.7333333333333333,0.9941708132350066,0.04537942260503769,478,60
