user_id,target,val_accuracy,val_ce_loss,train_loss,consistency_error,n_train,n_val
5fc68c7d781dffc92b8a11e5,attractive,0.739413680781759,0.5199559905234586,0.3956218361854553,0.0,7362,921
603951f6152e6be8454a7d54,attractive,0.6633986928104575,0.6314876714744057,0.433709055185318,0.0,7340,918
6036847a152e6be8454a5cde,attractive,0.5263157894736842,0.8479383869382774,0.4259885251522064,0.0,5920,741
601577ed152e6be8454a39cb,attractive,0.7531083481349912,0.522571831173667,0.33471304178237915,0.0,4498,563
60378cd4152e6be8454a6535,attractive,0.6833333333333333,1.117638710838669,0.024233641102910042,0.0,478,60
5fc68c7d781dffc92b8a11e5,smart,0.7263843648208469,0.5440080961860986,0.3937232196331024,0.0,7362,921
603951f6152e6be8454a7d54,smart,0.5555555555555556,0.8034162503815049,0.4363647401332855,0.0,7340,918
6036847a152e6be8454a5cde,smart,0.5033738191632928,0.8975086055060901,0.38775384426116943,0.0,5920,741
601577ed152e6be8454a39cb,smart,0.7584369449378331,0.49800420741300766,0.33971595764160156,0.0,4498,563
60378cd4152e6be8454a6535,smart,0.6,1.1892437927929695,0.03232748061418533,0.0,478,60
5fc68c7d781dffc92b8a11e5,trustworthy,0.7144408251900108,0.5437173751828552,0.39438730478286743,0.0,7362,921
603951f6152e6be8454a7d54,trustworthy,0.5849673202614379,0.7570494507369873,0.4287697374820709,0.0,7340,918
6036847a152e6be8454a5cde,trustworthy,0.4844804318488529,0.8648606241573252,0.4190267324447632,0.0,5920,741
601577ed152e6be8454a39cb,trustworthy,0.7442273534635879,0.5107783047710129,0.3734663426876068,0.0,4498,563
60378cd4152e6be8454a6535,trustworthy,0.6333333333333333,1.1792611347027384,0.021089619025588036,0.0,478,60
