name,avg_accuracy,avg_ce_loss,attractive_acc,smart_acc,trustworthy_acc,config
BestPractice,0.7099354044909258,0.5783029108933421,0.7456167333128269,0.6964011073515841,0.6877883728083667,"{'name': 'BestPractice', 'hidden_dims': [512, 256, 128], 'activation': 'gelu', 'dropout': 0.3, 'batch_norm': True, 'lr': 0.001, 'optimizer': 'adamw', 'weight_decay': 0.01}"
HighLR,0.7009125397313647,0.6122102980250074,0.7351584127960628,0.6871731774838511,0.6804060289141802,"{'name': 'HighLR', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.005, 'optimizer': 'adam'}"
Deep-3layer,0.6978365631087872,0.5470929584867029,0.7173177483851123,0.6828668102122424,0.6933251307290065,"{'name': 'Deep-3layer', 'hidden_dims': [256, 128, 64], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
BatchNorm,0.6954783143648108,0.5818044446062086,0.7265456782528453,0.6884035681328822,0.6714856967087051,"{'name': 'BatchNorm', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.1, 'batch_norm': True, 'lr': 0.001, 'optimizer': 'adam'}"
ExtraWide,0.6953757818107249,0.6338862130037786,0.7286988618886496,0.683482005536758,0.6739464780067671,"{'name': 'ExtraWide', 'hidden_dims': [1024, 512], 'activation': 'relu', 'dropout': 0.3, 'lr': 0.001, 'optimizer': 'adam'}"
LayerNorm,0.6922998051881472,0.6076338452127293,0.7179329437096278,0.680713626576438,0.6782528452783759,"{'name': 'LayerNorm', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.1, 'layer_norm': True, 'lr': 0.001, 'optimizer': 'adam'}"
Deep-4layer,0.6921972726340613,0.568447975333767,0.712396185788988,0.6733312826822516,0.6908643494309443,"{'name': 'Deep-4layer', 'hidden_dims': [512, 256, 128, 64], 'activation': 'relu', 'dropout': 0.3, 'lr': 0.001, 'optimizer': 'adam'}"
HighDropout,0.6848149287398749,0.5541035709295614,0.712396185788988,0.6647185481390342,0.6773300522916026,"{'name': 'HighDropout', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.5, 'lr': 0.001, 'optimizer': 'adam'}"
Wide,0.6826617451040705,0.6063620580377957,0.7139341741002768,0.666256536450323,0.6677945247616118,"{'name': 'Wide', 'hidden_dims': [512, 256], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
LeakyReLU,0.6809186916846098,0.5640450097719966,0.7093202091664104,0.6576438019071055,0.6757920639803138,"{'name': 'LeakyReLU', 'hidden_dims': [256, 128], 'activation': 'leaky_relu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
AdamW,0.680816159130524,0.5799578817795906,0.7142417717625346,0.6554906182713012,0.6727160873577361,"{'name': 'AdamW', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adamw', 'weight_decay': 0.01}"
GELU,0.6742540756690248,0.5699905489411224,0.7028606582589972,0.6493386650261458,0.6705629037219317,"{'name': 'GELU', 'hidden_dims': [256, 128], 'activation': 'gelu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
Baseline,0.6737414128985953,0.568114792809267,0.6985542909873885,0.6474930790525992,0.6751768686557982,"{'name': 'Baseline', 'hidden_dims': [128, 64], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
ELU,0.6563108787039885,0.5978025274415698,0.6779452476161181,0.6293448169793909,0.6616425715164564,"{'name': 'ELU', 'hidden_dims': [256, 128], 'activation': 'elu', 'dropout': 0.2, 'lr': 0.001, 'optimizer': 'adam'}"
LowLR,0.6416487234697016,0.6341709265703068,0.6693325130729006,0.6262688403568133,0.6293448169793909,"{'name': 'LowLR', 'hidden_dims': [256, 128], 'activation': 'relu', 'dropout': 0.2, 'lr': 0.0001, 'optimizer': 'adam'}"
